provincia,poblacion,solar,eolica,peso_poblacion,peso_solar,peso_eolica
ALBACETE,386464,7196,5036,0.0082,0.0464,0.0302
ALACANT/ALICANTE,1881762,500,1243,0.0399,0.0032,0.0074
ALMERÍA,731792,7874,3662,0.0155,0.0508,0.0219
ARABA/ÁLAVA,333626,55,153,0.0071,0.0004,0.0009
ASTURIAS,1011792,1,702,0.0214,0.0000,0.0042
ÁVILA,158421,2845,7265,0.0034,0.0183,0.0435
BADAJOZ,669943,7868,89,0.0142,0.0507,0.0005
ILLES BALEARS,1173008,338,4,0.0248,0.0022,0.0000
BARCELONA,5714730,381,1406,0.1210,0.0025,0.0084
BIZKAIA,1154334,55,153,0.0244,0.0004,0.0009
BURGOS,356055,2845,7265,0.0075,0.0183,0.0435
CÁCERES,389558,7868,89,0.0083,0.0507,0.0005
CÁDIZ,1245960,7874,3662,0.0264,0.0508,0.0219
CANTABRIA,584507,5,35,0.0124,0.0000,0.0002
CASTELLÓ/CASTELLÓN,587064,500,1243,0.0124,0.0032,0.0074
CIUDAD REAL,492591,7196,5036,0.0104,0.0464,0.0302
CÓRDOBA,776789,7874,3662,0.0165,0.0508,0.0219
A CORUÑA,1120134,19,3933,0.0237,0.0001,0.0236
CUENCA,195516,7196,5036,0.0041,0.0464,0.0302
GIPUZKOA,726033,55,153,0.0154,0.0004,0.0009
GIRONA,786596,381,1406,0.0167,0.0025,0.0084
GRANADA,921338,7874,3662,0.0195,0.0508,0.0219
GUADALAJARA,265588,7196,5036,0.0056,0.0464,0.0302
HUELVA,525835,7874,3662,0.0111,0.0508,0.0219
HUESCA,224264,2801,5659,0.0047,0.0181,0.0339
JAÉN,627190,7874,3662,0.0133,0.0508,0.0219
LEÓN,451706,2845,7265,0.0096,0.0183,0.0435
LLEIDA,439727,381,1406,0.0093,0.0025,0.0084
LUGO,326013,19,3933,0.0069,0.0001,0.0236
MADRID,6751251,63,0,0.1430,0.0004,0.0000
MÁLAGA,1695651,7874,3662,0.0359,0.0508,0.0219
MURCIA,1518486,1764,264,0.0322,0.0114,0.0016
NAVARRA,661537,242,1556,0.0140,0.0016,0.0093
OURENSE,305223,19,3933,0.0065,0.0001,0.0236
PALENCIA,159123,2845,7265,0.0034,0.0183,0.0435
LAS PALMAS,1128539,294,648,0.0239,0.0019,0.0039
PONTEVEDRA,944275,19,3933,0.0200,0.0001,0.0236
LA RIOJA,319796,104,448,0.0068,0.0007,0.0027
SALAMANCA,327338,2845,7265,0.0069,0.0183,0.0435
SANTA CRUZ DE TENERIFE,1044405,294,648,0.0221,0.0019,0.0039
SEGOVIA,153663,2845,7265,0.0033,0.0183,0.0435
SEVILLA,1947852,7874,3662,0.0413,0.0508,0.0219
SORIA,88747,2845,7265,0.0019,0.0183,0.0435
TARRAGONA,822309,381,1406,0.0174,0.0025,0.0084
TERUEL,134545,2801,5659,0.0028,0.0181,0.0339
TOLEDO,709403,7196,5036,0.0150,0.0464,0.0302
VALÈNCIA/VALENCIA,2589312,500,1243,0.0548,0.0032,0.0074
VALLADOLID,519361,2845,7265,0.0110,0.0183,0.0435
ZAMORA,168725,2845,7265,0.0036,0.0183,0.0435
ZARAGOZA,967452,2801,5659,0.0205,0.0181,0.0339
TOTAL,47215329,155086,166865,1.0000,1.0000,1.0000
